headline,timestamp,url,sentiment_score,sentiment,relevant_words
"A rebalance into fixed income away from equities could be a market headwind, says Adam Crisafulli",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/20/a-rebalance-into-fixed-income-away-from-equities-could-be-a-market-headwind-says-adam-crisafulli.html,0.1,Neutral,"['A', 'rebalance', 'into', 'fixed', 'income', 'away', 'from', 'equities', 'could', 'be', 'a', 'market', 'headwind', ',', 'says', 'Adam', 'Crisafulli']"
Tax-free bond trade: Finding long-term opportunities,2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/20/there-is-opportunity-to-lock-in-about-3-percent-in-tax-free-muni-bonds-says-parametrics-nisha-patel.html,0.0,Neutral,"['Tax-free', 'bond', 'trade', ':', 'Finding', 'long-term', 'opportunities']"
"Average credit card interest rate is a record 20.69%, but 0% offers are still available, experts say",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/credit-card-rates-stand-at-a-record-20point69percent.html,0.11666666666666668,Neutral,"['Average', 'credit', 'card', 'interest', 'rate', 'is', 'a', 'record', '20.69', '%', ',', 'but', '0', '%', 'offers', 'are', 'still', 'available', ',', 'experts', 'say']"
"Shell boosts dividend by 15%, maintains oil output through to 2030",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/14/shell-boosts-dividend-by-15percent-maintains-oil-output-through-to-2030.html,0.0,Neutral,"['Shell', 'boosts', 'dividend', 'by', '15', '%', ',', 'maintains', 'oil', 'output', 'through', 'to', '2030']"
Chocolate is set to get more expensive as cocoa prices soar to seven-year highs,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/13/chocolate-is-set-to-get-more-expensive-as-cocoa-prices-soar-to-seven-year-highs.html,0.0,Neutral,"['Chocolate', 'is', 'set', 'to', 'get', 'more', 'expensive', 'as', 'cocoa', 'prices', 'soar', 'to', 'seven-year', 'highs']"
Goldman Sachs slashes oil price forecast by nearly 10% as Russian supply recovers,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/12/goldman-sachs-slashes-oil-price-forecast-as-russian-supply-recovers.html,0.05,Neutral,"['Goldman', 'Sachs', 'slashes', 'oil', 'price', 'forecast', 'by', 'nearly', '10', '%', 'as', 'Russian', 'supply', 'recovers']"
China cuts two more key lending rates as economy sputters,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/china-cuts-two-more-key-lending-rates-as-economy-sputters.html,0.25,Positive,"['China', 'cuts', 'two', 'more', 'key', 'lending', 'rates', 'as', 'economy', 'sputters']"
"Hong Kong's new dual counter scheme 'solidifies' city's role as yuan trading hub, HKEX CEO says",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/19/hkd-rmb-dual-counter-scheme-solidifies-hong-kongs-yuan-trading-role-hkex.html,0.13636363636363635,Neutral,"['Hong', 'Kong', ""'s"", 'new', 'dual', 'counter', 'scheme', ""'solidifies"", ""'"", 'city', ""'s"", 'role', 'as', 'yuan', 'trading', 'hub', ',', 'HKEX', 'CEO', 'says']"
HKEX CEO discusses the 3 aims of its new HKD-RMB dual counter model,2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/19/hkex-ceo-discusses-the-3-aims-of-its-new-hkd-rmb-dual-counter-model.html,0.13636363636363635,Neutral,"['HKEX', 'CEO', 'discusses', 'the', '3', 'aims', 'of', 'its', 'new', 'HKD-RMB', 'dual', 'counter', 'model']"
European stocks close lower as sentiment remains cautious; Lanxess down 15%,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/european-markets-live-updates-news-stocks-data-earnings.html,-0.07777777777777779,Neutral,"['European', 'stocks', 'close', 'lower', 'as', 'sentiment', 'remains', 'cautious', ';', 'Lanxess', 'down', '15', '%']"
"Gold slides on strong US housing data, firmer dollar",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/gold-listless-as-investors-hunt-for-fed-rate-clues.html,0.4333333333333333,Positive,"['Gold', 'slides', 'on', 'strong', 'US', 'housing', 'data', ',', 'firmer', 'dollar']"
"Dollar firms amid supportive U.S. data; Swedish crown, Aussie slide",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/dollar-buoyant-yuan-wobbles-after-china-cuts-lending-benchmarks.html,0.5,Positive,"['Dollar', 'firms', 'amid', 'supportive', 'U.S.', 'data', ';', 'Swedish', 'crown', ',', 'Aussie', 'slide']"
"Ukraine war live updates: Russia fines Telegram and Viber for 'illegal' war content; Putin open to talking about Ukraine, Kremlin says",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/ukraine-war-live-updates-latest-news-on-russia-and-the-war-in-ukraine.html,-0.12121212121212122,Neutral,"['Ukraine', 'war', 'live', 'updates', ':', 'Russia', 'fines', 'Telegram', 'and', 'Viber', 'for', ""'illegal"", ""'"", 'war', 'content', ';', 'Putin', 'open', 'to', 'talking', 'about', 'Ukraine', ',', 'Kremlin', 'says']"
CNBC Daily Open: The Chinese dragon's still dozing,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/stock-markets-the-chinese-dragons-still-dozing.html,0.0,Neutral,"['CNBC', 'Daily', 'Open', ':', 'The', 'Chinese', 'dragon', ""'s"", 'still', 'dozing']"
"UK economic strength remains a problem for Bank of England, strategist says",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/20/uk-economic-strength-remains-a-problem-for-bank-of-england-strategist.html,0.2,Neutral,"['UK', 'economic', 'strength', 'remains', 'a', 'problem', 'for', 'Bank', 'of', 'England', ',', 'strategist', 'says']"
Alibaba founder Jack Ma's close confidants have taken the top roles at the Chinese tech giant  — Here's who they are,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/who-is-alibabas-new-ceo-eddie-wu-and-chairman-joe-tsai.html,0.16666666666666666,Neutral,"['Alibaba', 'founder', 'Jack', 'Ma', ""'s"", 'close', 'confidants', 'have', 'taken', 'the', 'top', 'roles', 'at', 'the', 'Chinese', 'tech', 'giant', '—', 'Here', ""'s"", 'who', 'they', 'are']"
"'When we meet again, may we all be carefree': Read the outgoing Alibaba CEO's memo to staff",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/alibaba-ceo-daniel-zhang-explains-why-he-is-stepping-down-in-staff-memo.html,0.0,Neutral,"[""'When"", 'we', 'meet', 'again', ',', 'may', 'we', 'all', 'be', 'carefree', ""'"", ':', 'Read', 'the', 'outgoing', 'Alibaba', 'CEO', ""'s"", 'memo', 'to', 'staff']"
"China is poised for a 'near-term rebound,' says Abrdn",2023-06-20 18:05:57.330004,https://www.cnbc.com/video/2023/06/20/china-is-poised-for-a-near-term-rebound-says-abrdn.html,0.0,Neutral,"['China', 'is', 'poised', 'for', 'a', ""'near-term"", 'rebound', ',', ""'"", 'says', 'Abrdn']"
European stocks close lower as sentiment remains cautious; Lanxess down 15%,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/european-markets-live-updates-news-stocks-data-earnings.html,-0.07777777777777779,Neutral,"['European', 'stocks', 'close', 'lower', 'as', 'sentiment', 'remains', 'cautious', ';', 'Lanxess', 'down', '15', '%']"
"Gold slides on strong US housing data, firmer dollar",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/gold-listless-as-investors-hunt-for-fed-rate-clues.html,0.4333333333333333,Positive,"['Gold', 'slides', 'on', 'strong', 'US', 'housing', 'data', ',', 'firmer', 'dollar']"
"Dollar firms amid supportive U.S. data; Swedish crown, Aussie slide",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/dollar-buoyant-yuan-wobbles-after-china-cuts-lending-benchmarks.html,0.5,Positive,"['Dollar', 'firms', 'amid', 'supportive', 'U.S.', 'data', ';', 'Swedish', 'crown', ',', 'Aussie', 'slide']"
Oil prices ease on weaker Chinese demand picture,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/oil-prices-mixed-ahead-of-china-lending-benchmarks-decision.html,0.0,Neutral,"['Oil', 'prices', 'ease', 'on', 'weaker', 'Chinese', 'demand', 'picture']"
Asia markets mixed as China cuts key lending rates,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/asia-markets.html,0.0,Neutral,"['Asia', 'markets', 'mixed', 'as', 'China', 'cuts', 'key', 'lending', 'rates']"
"A 'truly diversified' portfolio should include bitcoin and ether, Ric Edelman says",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/a-truly-diversified-portfolio-should-include-bitcoin-and-ether-ric-edelman-says.html,0.0,Neutral,"['A', ""'truly"", 'diversified', ""'"", 'portfolio', 'should', 'include', 'bitcoin', 'and', 'ether', ',', 'Ric', 'Edelman', 'says']"
The Grayscale Bitcoin Trust is getting a boost from BlackRock. Here's to know,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/the-grayscale-bitcoin-trust-is-getting-a-boost-from-blackrock-heres-what-to-know.html,0.0,Neutral,"['The', 'Grayscale', 'Bitcoin', 'Trust', 'is', 'getting', 'a', 'boost', 'from', 'BlackRock', '.', 'Here', ""'s"", 'to', 'know']"
Apple nears key $3 trillion market cap. Here's what the pros are saying,2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/apple-nears-3-trillion-market-cap-heres-what-the-pros-are-saying.html,0.0,Neutral,"['Apple', 'nears', 'key', '$', '3', 'trillion', 'market', 'cap', '.', 'Here', ""'s"", 'what', 'the', 'pros', 'are', 'saying']"
"Bernstein says Nvidia is still the best A.I. trade, but there's a close second",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/nvidia-is-still-the-best-ai-trade-but-theres-a-close-second-too.html,0.5,Positive,"['Bernstein', 'says', 'Nvidia', 'is', 'still', 'the', 'best', 'A.I', '.', 'trade', ',', 'but', 'there', ""'s"", 'a', 'close', 'second']"
"Too far, too fast: Wall Street sees Tesla and other stocks declining in one year",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/too-far-too-fast-wall-street-sees-tesla-and-other-stocks-declining.html,0.05833333333333335,Neutral,"['Too', 'far', ',', 'too', 'fast', ':', 'Wall', 'Street', 'sees', 'Tesla', 'and', 'other', 'stocks', 'declining', 'in', 'one', 'year']"
"Stocks making the biggest moves midday: Goldman Sachs, Avis, Rivian, Nike and more",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/stocks-moving-big-midday-gs-car-rivn-nke.html,0.5,Positive,"['Stocks', 'making', 'the', 'biggest', 'moves', 'midday', ':', 'Goldman', 'Sachs', ',', 'Avis', ',', 'Rivian', ',', 'Nike', 'and', 'more']"
"Stocks making the biggest premarket moves: Alibaba, Dice Therapeutics and more",2023-06-20 18:05:57.330004,https://www.cnbc.com/2023/06/20/stocks-making-the-biggest-premarket-move-.html,0.5,Positive,"['Stocks', 'making', 'the', 'biggest', 'premarket', 'moves', ':', 'Alibaba', ',', 'Dice', 'Therapeutics', 'and', 'more']"
