date,open_price,highest_price,lowest_price,close_price,adjusted_close,volume,symbol
2023-01-03,122.82,126.37,122.28,124.74,124.74,35528531,META
2023-01-03,130.28,130.9,124.17,125.07,124.706364206119,112117471,AAPL
2023-01-03,85.46,86.96,84.205,85.82,85.82,76706040,AMZN
2023-01-03,89.83,91.55,89.02,89.7,89.7,20738457,GOOG
2023-01-03,243.08,245.75,237.4,239.58,238.460202703275,25740036,MSFT
2023-01-04,127.38,129.0498,125.85,127.37,127.37,32397094,META
2023-01-04,86.55,86.98,83.36,85.14,85.14,68885123,AMZN
2023-01-04,126.89,128.6557,125.08,126.36,125.992613585074,89113633,AAPL
2023-01-04,91.01,91.24,87.8,88.71,88.71,27046483,GOOG
2023-01-04,232.275,232.87,225.96,229.1,228.029186239754,50623394,MSFT
2023-01-05,85.33,85.42,83.07,83.12,83.12,67930825,AMZN
2023-01-05,88.07,88.21,86.56,86.77,86.77,23136084,GOOG
2023-01-05,127.13,127.77,124.76,125.02,124.656509579028,80962708,AAPL
2023-01-05,126.125,128.52,124.54,126.94,126.94,25447099,META
2023-01-05,227.2,227.55,221.7602,222.31,221.270922710431,39585623,MSFT
2023-01-06,223.0,225.7601,219.35,224.93,223.878676826312,43613574,MSFT
2023-01-06,128.97,130.33,126.04,130.02,130.02,27584498,META
2023-01-06,83.03,86.4,81.43,86.08,86.08,83303361,AMZN
2023-01-06,126.01,130.29,124.89,129.62,129.243135271425,87754715,AAPL
2023-01-06,87.36,88.47,85.57,88.16,88.16,26612628,GOOG
2023-01-09,130.465,133.41,129.89,130.15,129.771594318593,70790813,AAPL
2023-01-09,87.46,89.48,87.08,87.36,87.36,65266056,AMZN
2023-01-09,89.195,90.83,88.58,88.8,88.8,22996681,GOOG
2023-01-09,131.16,132.95,129.28,129.47,129.47,26649145,META
2023-01-09,226.45,231.2366,226.41,227.12,226.058440762868,27369784,MSFT
2023-01-10,86.72,89.475,86.7,89.24,89.24,22855590,GOOG
2023-01-10,127.27,133.44,127.15,132.99,132.99,28684431,META
2023-01-10,227.755,231.31,227.33,228.85,227.780354740148,27033881,MSFT
2023-01-10,130.26,131.2636,128.12,130.73,130.349907992851,63896155,AAPL
2023-01-10,87.57,90.185,87.29,89.87,89.87,67756601,AMZN
2023-01-11,90.06,92.45,89.74,92.26,92.26,25998844,GOOG
2023-01-11,231.29,235.95,231.11,235.77,234.668010649266,28669331,MSFT
2023-01-11,131.25,133.51,130.46,133.49,133.10188340829,69458949,AAPL
2023-01-11,130.96,133.8494,130.34,132.89,132.89,25423046,META
2023-01-11,90.93,95.26,90.93,95.09,95.09,103126183,AMZN
2023-01-12,96.93,97.19,93.5,95.27,95.27,85254781,AMZN
2023-01-12,133.88,134.26,131.44,133.41,133.022116004944,71379648,AAPL
2023-01-12,235.26,239.9,233.56,238.51,237.395203884958,27269486,MSFT
2023-01-12,133.44,137.6781,131.76,136.71,136.71,30757732,META
2023-01-12,92.4,92.62,90.57,91.91,91.91,22754216,GOOG
2023-01-13,94.18,98.37,94.12,98.12,98.12,85549432,AMZN
2023-01-13,132.03,134.92,131.66,134.76,134.368190936408,57809719,AAPL
2023-01-13,237.002,239.37,234.92,239.23,238.111838603826,21333265,MSFT
2023-01-13,134.97,137.39,134.835,136.98,136.98,22423839,META
2023-01-13,91.528,92.98,90.93,92.8,92.8,18630709,GOOG
2023-01-17,237.97,240.91,237.09,240.35,239.226603722065,29831257,MSFT
2023-01-17,136.176,136.75,134.25,135.36,135.36,21147587,META
2023-01-17,92.78,92.97,90.84,92.16,92.16,22935823,GOOG
2023-01-17,98.68,98.89,95.73,96.05,96.05,72755001,AMZN
2023-01-17,134.83,137.29,134.13,135.94,135.544760135762,63646627,AAPL
2023-01-18,241.565,242.38,235.52,235.81,234.707823689203,30028692,MSFT
2023-01-18,97.25,99.32,95.38,95.46,95.46,79570370,AMZN
2023-01-18,136.815,138.61,135.03,135.21,134.81688258023,69672800,AAPL
2023-01-18,135.81,137.25,132.8,133.02,133.02,20215486,META
2023-01-18,92.94,93.588,91.4,91.78,91.78,19641622,GOOG
2023-01-19,91.39,94.4,91.38,93.91,93.91,28707653,GOOG
2023-01-19,233.78,235.52,230.68,231.93,230.845958815304,28623033,MSFT
2023-01-19,134.08,136.25,133.77,135.27,134.876708132739,58280413,AAPL
2023-01-19,132.49,137.45,132.14,136.15,136.15,28625232,META
2023-01-19,94.74,95.44,92.86,93.68,93.68,69002663,AMZN
2023-01-20,135.89,139.94,134.61,139.37,139.37,28688630,META
2023-01-20,135.28,138.02,134.22,137.87,137.469148741486,80223626,AAPL
2023-01-20,93.86,97.354,93.2025,97.25,97.25,67481539,AMZN
2023-01-20,95.95,99.42,95.91,99.28,99.28,53704763,GOOG
2023-01-20,234.855,240.74,234.51,240.22,239.097211342269,35389809,MSFT
2023-01-23,97.56,97.78,95.86,97.52,97.52,76501103,AMZN
2023-01-23,138.12,143.315,137.9,141.11,140.699728577,81760313,AAPL
2023-01-23,241.1,245.165,239.65,242.58,241.446180698558,31933951,MSFT
2023-01-23,99.13,101.4,98.75,101.21,101.21,31791782,GOOG
2023-01-23,139.29,143.76,138.66,143.27,143.27,27470093,META
2023-01-24,96.93,98.09,96.0,96.32,96.32,66929452,AMZN
2023-01-24,140.305,143.16,140.3,142.53,142.115599986393,66435142,AAPL
2023-01-24,242.5,243.95,240.44,242.04,240.908704659407,40234444,MSFT
2023-01-24,99.55,101.09,98.7,99.21,99.21,27391372,GOOG
2023-01-24,141.69,145.0,141.36,143.14,143.14,21970190,META
2023-01-25,92.56,97.24,91.52,97.18,97.18,94261570,AMZN
2023-01-25,234.48,243.3,230.9,240.61,239.485388481656,66526641,MSFT
2023-01-25,97.2,97.72,95.262,96.73,96.73,31000850,GOOG
2023-01-25,140.89,142.43,138.81,141.86,141.44754798337,65799349,AAPL
2023-01-25,141.22,143.17,140.31,141.5,141.5,26622021,META
2023-01-26,243.65,248.31,242.0,248.0,246.840847610035,33454491,MSFT
2023-01-26,98.28,99.21,96.82,99.16,99.16,24542060,GOOG
2023-01-26,143.17,144.25,141.9,143.96,143.541442321203,54105068,AAPL
2023-01-26,144.4,147.51,143.3,147.3,147.3,25482084,META
2023-01-26,98.235,99.49,96.92,99.22,99.22,68523557,AMZN
2023-01-27,99.05,101.58,98.97,100.71,100.71,29020354,GOOG
2023-01-27,143.155,147.23,143.08,145.93,145.505714628599,70555843,AAPL
2023-01-27,148.237,153.19,147.39,151.74,151.74,35771865,META
2023-01-27,248.99,249.83,246.83,248.16,247.000099769784,26498939,MSFT
2023-01-27,99.53,103.485,99.53,102.24,102.24,87775614,AMZN
2023-01-30,101.09,101.74,99.01,100.55,100.55,70691860,AMZN
2023-01-30,98.745,99.4088,97.52,97.95,97.95,24365142,GOOG
2023-01-30,244.51,245.6,242.2,242.71,241.575573078354,25867365,MSFT
2023-01-30,144.955,145.55,142.85,143.0,142.584233481051,64015274,AAPL
2023-01-30,149.405,151.1233,146.95,147.06,147.06,28040100,META
2023-01-31,142.7,144.34,142.28,144.29,143.870482860006,65874459,AAPL
2023-01-31,243.45,247.95,242.945,247.81,246.651735670334,26541072,MSFT
2023-01-31,101.155,103.3484,101.14,103.13,103.13,66527253,AMZN
2023-01-31,97.86,99.91,97.79,99.87,99.87,22306778,GOOG
2023-01-31,147.95,149.88,147.52,148.97,148.97,29842109,META
2023-02-01,143.97,146.61,141.32,145.43,145.007168357687,77663633,AAPL
2023-02-01,148.03,153.58,147.06,153.12,153.12,55661017,META
2023-02-01,248.0,255.18,245.47,252.75,251.568646102566,31259912,MSFT
2023-02-01,102.53,106.24,101.24,105.15,105.15,80450121,AMZN
2023-02-01,99.74,102.1899,98.42,101.43,101.43,26392568,GOOG
2023-02-02,106.79,108.82,106.54,108.8,108.8,46622627,GOOG
2023-02-02,183.38,197.16,180.16,188.77,188.77,150475687,META
2023-02-02,148.9,151.18,148.17,150.82,150.381497158126,118338980,AAPL
2023-02-02,110.245,114.0,108.88,112.91,112.91,158154243,AMZN
2023-02-02,258.82,264.69,257.25,264.6,263.363259183933,39940437,MSFT
2023-02-03,103.51,108.02,103.3,105.22,105.22,36823421,GOOG
2023-02-03,148.03,157.38,147.83,154.5,154.050797712044,154357337,AAPL
2023-02-03,105.26,108.78,102.52,103.39,103.39,144374828,AMZN
2023-02-03,259.542,264.2,257.1,258.35,257.142471693761,29077256,MSFT
2023-02-03,183.465,196.77,182.89,186.53,186.53,76809701,META
2023-02-06,186.53,190.7,185.5156,186.06,186.06,42483811,META
2023-02-06,102.685,104.7,102.21,103.47,103.47,25573046,GOOG
2023-02-06,152.575,153.1,150.78,151.73,151.288851371187,69858306,AAPL
2023-02-06,257.44,258.3,254.78,256.77,255.569856616245,22517997,MSFT
2023-02-06,102.925,103.9484,100.65,102.18,102.18,81945199,AMZN
2023-02-07,260.53,268.775,260.08,267.56,266.309424139278,50841365,MSFT
2023-02-07,150.64,155.23,150.64,154.65,154.200361593318,83322551,AAPL
2023-02-07,103.63,108.67,103.5475,108.04,108.04,33738828,GOOG
2023-02-07,101.17,102.41,98.08,102.11,102.11,119501301,AMZN
2023-02-07,185.575,193.7799,184.4,191.62,191.62,47080662,META
2023-02-08,102.69,103.58,98.455,100.0,100.0,73546029,GOOG
2023-02-08,102.04,102.6699,98.775,100.05,100.05,75878304,AMZN
2023-02-08,153.88,154.58,151.168,151.92,151.478298954134,64120079,AAPL
2023-02-08,190.0,190.83,182.92,183.43,183.43,36139074,META
2023-02-08,273.2,276.76,266.21,266.73,265.483303560584,54686049,MSFT
2023-02-09,100.54,100.61,93.86,95.46,95.46,97798573,GOOG
2023-02-09,186.13,186.65,177.27,177.92,177.92,37118811,META
2023-02-09,101.32,101.78,97.57,98.24,98.24,64622489,AMZN
2023-02-09,153.775,154.33,150.42,150.87,150.431351785218,56007143,AAPL
2023-02-09,273.8,273.98,262.8,263.62,262.387839705474,42375102,MSFT
2023-02-10,149.46,151.3401,149.22,151.01,150.800276025693,57450708,AAPL
2023-02-10,95.74,97.02,94.53,94.86,94.86,49325275,GOOG
2023-02-10,97.56,98.8163,96.23,97.61,97.61,52740133,AMZN
2023-02-10,261.53,264.09,260.662,263.1,261.870270186292,25818489,MSFT
2023-02-10,176.3534,178.89,173.35,174.15,174.15,33433567,META
2023-02-13,97.85,99.68,96.91,99.54,99.54,52841464,AMZN
2023-02-13,267.64,274.6,267.15,271.32,270.051849893366,44630921,MSFT
2023-02-13,95.01,95.35,94.05,95.0,95.0,43116559,GOOG
2023-02-13,150.952,154.26,150.92,153.85,153.636331809502,62199013,AAPL
2023-02-13,178.215,181.0,175.82,179.43,179.43,31463223,META
2023-02-14,94.66,95.175,92.65,94.95,94.95,42513079,GOOG
2023-02-14,272.67,274.97,269.28,272.17,270.89787699203,37047924,MSFT
2023-02-14,98.41,100.9207,97.52,99.7,99.7,56202898,AMZN
2023-02-14,152.12,153.77,150.86,153.2,152.987234535038,61707573,AAPL
2023-02-14,177.16,181.5064,175.88,179.48,179.48,24034631,META
